product_id,product_name,product_slug,old_thumbnail_id,old_thumbnail_title,old_score,new_thumbnail_id,new_thumbnail_title,new_score,second_score,margin,reasons
75064,Rajkonna Light Moisturizer All Skin Types 50ml,rajkonna-light-moisturizer-all-skin-types-50ml,75061,0668_Rajkonna20Glow20Booster20Facial20Wash20100ml.jpg,0.133,75065,0670_Rajkonna20Light20Moisturizer20All20Skin20Types2050ml.jpg,0.88,0.051,0.829,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75066,Remington Ceramic Straight Straightener (S3500),remington-ceramic-straight-straightener-s3500,75063,0669_Rajkonna20Acne20Fighting20Facial20Wash20100ml.jpg,0,75067,0671_Remington20Ceramic20Straight20Straightener20S3500.jpg,0.785,,0.785,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75103,Sunplay Skin Aqua Tone Up UV Spray SPF50+ PA++++ 70g,sunplay-skin-aqua-tone-up-uv-spray-spf50-pa-70g,75102,0690_CEZANNE20Watery20Lip20Tint200120Natural20Pink204g.jpg,0,75104,0691_Sunplay20Skin20Aqua20Tone20Up20UV20Spray20SPF5020PA2070g.jpg,0.739,0.382,0.357,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75143,SADOER Real Red Apple Antioxidant Facial Mask 25g,sadoer-real-red-apple-antioxidant-facial-mask-25g,75140,0710_SADOER20Caviar20Soft20Nourishing20Eye20Mask2075g.jpg,0.209,75144,0712_SADOER20Real20Red20Apple20Antioxidant20Facial20Mask2025g.jpg,0.905,0.273,0.632,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75147,SADOER Orange Moisturizing Lip Mask 8g,sadoer-orange-moisturizing-lip-mask-8g,75144,0712_SADOER20Real20Red20Apple20Antioxidant20Facial20Mask2025g.jpg,0.26,75148,0714_SADOER20Orange20Moisturizing20Lip20Mask208g.jpg,0.88,0.393,0.487,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75149,SADOER Blueberry Hydration Lip Mask 8g,sadoer-blueberry-hydration-lip-mask-8g,75146,0713_SADOER20Hydrocolloid20Star20Flower20Purifying20Acne20Pat.jpg,0.132,75150,0715_SADOER20Blueberry20Hydration20Lip20Mask208g.jpg,0.88,0.613,0.267,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75151,SADOER Green Tea Oil Control Facial Mask 25g,sadoer-green-tea-oil-control-facial-mask-25g,75148,0714_SADOER20Orange20Moisturizing20Lip20Mask208g.jpg,0.213,75152,0716_SADOER20Green20Tea20Oil20Control20Facial20Mask2025g.jpg,0.905,0.273,0.632,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75189,Simple Hydrating Cleansing Oil 125ml,simple-hydrating-cleansing-oil-125ml,75188,0742_Simple201020Vitamin20CEF20Booster20Serum2030ml.jpg,0.155,75190,0743_Simple20Hydrating20Cleansing20Oil20125ml.jpg,0.865,0.159,0.706,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75233,Skino Refreshing Micellar Cleansing Water (100ml),skino-refreshing-micellar-cleansing-water-100ml,75232,0769_SkinO2010020Pure20Rose20Water20100ml.jpg,0.486,75234,0770_Skino20Refreshing20Micellar20Cleansing20Water20100ml.jpg,0.88,0.486,0.394,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75265,Streax Walnut Hair Serum 115ml,streax-walnut-hair-serum-115ml,75264,0787_Streax20Professional20Vitariche20Gloss20Hair20Serum20115.jpg,0.465,75266,0788_Streax20Walnut20Hair20Serum20115ml.jpg,0.865,0.465,0.4,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
